subset,metric,target,n_rows,std_beta
all,steps_7d,future7_calories,3801,0.1025
all,steps_7d,future14_calories,3801,0.0743
all,steps_7d,future7_ratio,3801,-0.0014
all,steps_7d,future14_ratio,3801,-0.0039
falling,steps_7d,future14_ratio,339,-0.0451
stable,steps_7d,future14_ratio,2286,-0.0071
rising,steps_7d,future14_ratio,1176,0.0126
all,foot_pounds_7d,future7_calories,3801,0.1151
all,foot_pounds_7d,future14_calories,3801,0.0917
all,foot_pounds_7d,future7_ratio,3801,-0.0019
all,foot_pounds_7d,future14_ratio,3801,-0.005
falling,foot_pounds_7d,future14_ratio,339,-0.0362
stable,foot_pounds_7d,future14_ratio,2286,-0.0077
rising,foot_pounds_7d,future14_ratio,1176,0.0069
