com.samsung.shealth.best_records,6261011,2
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_type,deviceuuid,pkg_name,controller_id,datauuid
c4073381-71cd-4a7f-a15a-aa979caff6e7,-1,2023-06-20 14:24:02.433,2016-06-03 21:56:09.794,,1464973008208,5,56.569077,,-1,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_walking,0f8036c4-36e5-4a0f-bcb9-a336467eb328,
142f55c5-a747-8a0d-7a87-ba2e1cf99aa5,-1,2023-06-20 14:24:02.404,2016-06-08 17:58:02.862,,1461757806355,1,6843000.0,,11007,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_others,32e1fd8d-9127-4af2-89aa-b5af53e685dd,
4b012ae5-2be8-324c-6775-c05f931c39ae,-1,2023-06-20 14:24:02.416,2016-04-21 18:38:34.582,,1461245049640,3,10516.037,,-1,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_cycling,e76231e1-a43b-40ac-b3f3-0bb99581e73d,
5d732387-7e88-4b3c-b13b-5a83eb511297,-1,2023-06-20 14:24:02.423,2020-04-06 21:42:24.654,,1586192957354,5,105.62896,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,59636902-20f9-4c42-9207-d639efa5f2e1,
f36567ed-2343-7a2e-5d7e-d1c921a9203a,-1,2023-06-20 14:24:02.439,2016-07-30 19:58:54.404,,1469890529178,4,20.261,,-1,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_walking,b0d7b97a-d2ca-4c87-b855-28e54ef40289,
f9c6dbdb-6d74-48d9-a1b2-b0063e1a7ebb,-1,2023-06-20 14:24:02.442,2020-04-16 20:04:45.015,,1587051375992,5,108.30482,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,277a8143-fcb9-4b92-8e22-604eec450da8,
0956d53f-9569-69b8-1b95-64b591cefb08,-1,2023-06-20 14:24:02.402,2016-03-15 15:18:38.242,,1457710019741,4,12.128,,1002,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_others,41e4af71-2fe4-472f-af14-5f9fcf27658f,
8c420ba0-677a-525f-de31-35c881e58ca5,-1,2023-06-20 14:24:02.427,2017-05-21 22:48:31.457,,1495380207440,2,1089.622,,-1,lR4XsWsS9x,com.sec.android.app.shealth,tracker.sport_cycling,89f4b2d1-a397-4c6b-9dc2-fafd65ddb190,
a40f92c4-63d1-f36c-4efd-c86f22a29706,-1,2023-06-20 14:24:02.431,2017-04-26 00:03:00.960,,1489494444916,2,669.483,,1001,lR4XsWsS9x,com.sec.android.app.shealth,tracker.sport_others,b3274fbe-aa73-4c9d-8223-59310434f81a,
37918bc9-75c4-4dde-835b-2f454c6f3642,-1,2023-06-20 14:24:02.408,2020-06-09 20:19:48.345,,1591717414492,5,168.8373,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,bfdb7a78-ead8-4175-bc4d-ddd22162f118,
c59f032e-3bea-f5b8-09b5-02f16190b482,-1,2023-06-20 14:24:02.434,2020-06-13 07:29:30.081,,1495366676392,2,761.495,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_cycling,da84d47e-c7d1-4c21-ad00-f220751028a8,
f09eb540-8a26-4f13-bafc-dd8ce50dad68,-1,2023-06-20 14:24:02.436,2020-04-05 20:51:52.554,,1586103377720,5,79.02284,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,f08204a0-46e7-44c2-9764-5df1d0a2c1c1,
467e7368-2b2e-4fd3-9427-d6ce4fe6811c,-1,2023-06-20 14:24:02.411,2022-02-11 03:48:57.327,,1464446989122,2,253.0,,13001,yEjG51P5jF,com.sec.android.app.shealth,tracker.sport_others,46a496ce-d6bb-4dd0-8d38-52f9dcd3e9be,
a14ba40f-4e37-4f0e-906f-d0a3f70340db,-1,2023-06-20 14:24:02.428,2020-04-06 20:45:27.020,,1586189650029,5,82.082535,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,4851a338-cbd2-49d6-9b56-e470251d9032,
1c1c7c5e-4079-4084-866d-b1d98c326787,-1,2023-06-20 14:24:02.406,2020-05-07 19:57:38.554,,1588865133460,5,109.95257,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,80fd9452-965d-4e84-8768-632597b8c561,
899e18ba-4ed2-d9ae-7fc8-0305d3171ad4,-1,2023-06-20 14:24:02.424,2020-06-13 07:29:31.672,,1489414997750,1,1.1430239E7,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,f1f6a627-4c69-4eb5-adef-8da7bc0ca51a,
142f55c5-a747-8a0d-7a87-ba2e1cf99aa5,-1,2023-06-20 14:24:02.404,2016-06-08 17:58:02.764,,1461757806355,3,24875.375,,11007,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_others,aa795574-dae0-4597-ada6-9c02ed8b0453,
a40f92c4-63d1-f36c-4efd-c86f22a29706,-1,2023-06-20 14:24:02.431,2017-04-26 00:03:00.894,,1489494444916,1,2.73305E7,,1001,lR4XsWsS9x,com.sec.android.app.shealth,tracker.sport_others,c365fca6-864b-409f-b1ee-438f8815df26,
cc26e8e9-38a2-4331-9754-4d98db4d25d6,,2023-08-16 19:56:45.483,2023-08-16 19:56:45.483,,1692215805478,3,3014.633,,,f5OzzNknPX,com.sec.android.app.shealth,tracker.sport_running,068f2094-78e3-4438-b9e0-681813f485b9,
cc26e8e9-38a2-4331-9754-4d98db4d25d6,,2023-08-16 20:02:40.376,2023-08-16 19:56:45.504,,1692215805499,7,1.755438,1,,f5OzzNknPX,com.sec.android.app.shealth,tracker.sport_running,c6412ad4-4156-47ba-8026-f5aaac82bc67,
1e2f335d-0e6d-42aa-9580-bbab00e9fbef,,2023-09-08 21:13:28.259,2023-09-08 21:03:18.747,,1694206998439,8,2644518.0,1,,f5OzzNknPX,com.sec.android.app.shealth,tracker.sport_running,cdbad08d-9013-44c9-8afb-c73fe4c4d829,
1e2f335d-0e6d-42aa-9580-bbab00e9fbef,,2023-09-08 21:03:18.933,2023-09-08 21:03:18.933,,1694206998797,3,5118.075,,,f5OzzNknPX,com.sec.android.app.shealth,tracker.sport_running,fd27994f-e668-4261-8af9-6d283e99c236,
1e2f335d-0e6d-42aa-9580-bbab00e9fbef,,2023-09-22 22:20:35.686,2023-09-08 21:03:19.077,,1694206999046,7,1.8560469,1,,f5OzzNknPX,com.sec.android.app.shealth,tracker.sport_running,8af5c0e1-431e-4c01-9e3b-a6ee48238038,
c1f1522b-ee93-4f01-b907-41adabec5d98,,2023-09-22 22:19:21.840,2023-09-22 22:14:53.117,,1695420893111,8,2639598.0,1,,2Rs3UPxJn5,com.sec.android.app.shealth,tracker.sport_running,54914e45-34ac-41f8-a4da-64a3cad0c918,
c1f1522b-ee93-4f01-b907-41adabec5d98,,2023-09-22 22:14:53.137,2023-09-22 22:14:53.137,,1695420893133,3,5579.854,,,2Rs3UPxJn5,com.sec.android.app.shealth,tracker.sport_running,7bbdc4f4-818f-4a8c-a128-ee378dd94c2e,
,-100003,2023-11-11 20:11:39.981,2023-11-11 20:11:39.981,,1398384000000,0,10170.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,8a9a296b-60b4-467a-8bba-288a664f77c0,
,-100003,2023-11-11 20:11:40.000,2023-11-11 20:11:40.000,,1400544000000,0,18900.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,db3ea4ac-c7d0-4792-b47f-033ba7f3f682,
,-100003,2023-11-11 20:11:40.328,2023-11-11 20:11:40.328,,1469059200000,0,20747.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,f1f37681-82b2-4461-b839-e2e54262481d,
,-100003,2023-11-11 20:11:40.362,2023-11-11 20:11:40.362,,1478304000000,0,25659.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,dbb72e80-6494-4fd4-9b25-55f58eeda807,
,-100003,2023-11-11 20:11:39.988,2023-11-11 20:11:39.988,,1398470400000,0,10659.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,229e9834-6ff5-4cff-9151-c84f39e74811,
,-100003,2023-11-11 20:11:40.006,2023-11-11 20:11:40.006,,1415577600000,0,20218.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,412daa39-1157-44ac-a090-d6b20ab905d9,
,-100003,2023-11-11 20:11:39.968,2023-11-11 20:11:39.968,,1398297600000,0,6440.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,57f48d94-df46-4356-87e6-8229b97338e4,
,-100003,2023-11-11 20:11:39.993,2023-11-11 20:11:39.993,,1398988800000,0,17822.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,7271f269-c9eb-4cd3-8ff5-7f95a603e537,
,-1,2023-12-30 05:00:03.048,2023-12-30 05:00:03.048,,1480377600000,6,12.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,3cade962-fb8e-4f6d-8f7d-0eb1ca1ffc71,
,-1,2023-12-30 05:00:03.070,2023-12-30 05:00:03.070,,1482364800000,6,13.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,83e58cf0-5a35-4483-9a4a-d799b7a463e6,
,-1,2023-12-30 05:00:03.112,2023-12-30 05:00:03.112,,1484265600000,6,14.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,3e553df6-7fa6-440b-83bc-3e4675a65b9d,
,-1,2023-12-30 05:00:03.144,2023-12-30 05:00:03.144,,1487548800000,6,16.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,76a1d68c-a6c4-4d9f-9ee7-35648a8191ac,
,-1,2023-12-30 05:00:03.201,2023-12-30 05:00:03.201,,1491696000000,6,18.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,5c4ffeac-0dc1-47b4-83f4-78ce55b3291a,
,-1,2023-12-30 05:00:03.219,2023-12-30 05:00:03.219,,1492300800000,6,26.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,b1d74af3-7001-46ae-9aab-147a1f5507ba,
,-1,2023-12-30 05:00:03.259,2023-12-30 05:00:03.259,,1498003200000,6,34.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,d5f52b24-edf1-4d59-9d57-aeabdd21d896,
,-1,2023-12-30 05:00:03.316,2023-12-30 05:00:03.316,,1506124800000,6,95.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,6a32f816-6adb-4408-93ee-3cfa65bf468a,
,-1,2023-12-30 05:00:03.421,2023-12-30 05:00:03.421,,1592870400000,6,107.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,7d315369-4cf0-4df0-ad1c-544d01ef803f,
