com.samsung.shealth.food_goal,6261011,2
update_time,create_time,goal_value,goal_by,time_offset,deviceuuid,comment,pkg_name,set_time,datauuid,goal_type
2018-06-29 00:13:16.855,2018-06-29 00:13:16.855,2676.9048,,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1530231196855,1182ba56-de01-260f-3132-e67a7e494e02,0,
2019-01-21 10:44:55.021,2019-01-21 10:44:55.021,2597.8743,,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1548067495021,9100ac75-e0e5-28d7-24c3-07ebf4fe6e0e,0,
2018-08-16 22:19:47.694,2018-08-16 22:19:47.668,2607.0,,UTC-0400,9wVta8KBzt,,com.sec.android.app.shealth,1534457987665,87ecc89c-0381-48c4-876f-006ae7f9f9bc,0,
2018-08-19 17:44:16.714,2018-08-19 17:44:16.714,2676.9048,,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1534700656713,c1f0b249-e149-6aba-f267-e66856225350,0,
2014-12-13 00:44:46.326,2014-12-13 00:44:46.326,2540.0,,UTC-0400,giFDW8zpE7,,com.sec.android.app.shealth,1418431486312,23e7dbb4-97b8-9be2-a279-a43cc7523885,0,
2020-04-10 20:57:51.526,2020-04-10 20:57:51.526,1904.0,,UTC-0400,cfxbbbfj2r,,com.sec.android.app.shealth,1586552271504,26afb285-1245-4acf-b1ae-19b1ef3edd81,0,
2018-01-13 05:48:09.645,2018-01-13 05:48:09.625,2676.0,,UTC-0500,EHdtKydEi4,,com.sec.android.app.shealth,1515822489624,34834a8c-46b4-4651-8ff5-68bd36ba2dff,0,
2014-10-18 16:03:13.821,2014-10-18 16:03:13.821,2540.0,,UTC-0400,giFDW8zpE7,,com.sec.android.app.shealth,1413648193806,41dca50c-d430-f337-3a67-a0ab8e6a9015,0,
2018-05-11 00:04:03.230,2018-05-11 00:04:03.230,2676.9048,,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1525997043230,d10c92b0-da0b-a116-ad75-509cca102bec,0,
2019-02-27 18:14:32.674,2019-02-27 18:14:32.635,2597.0,,UTC-0500,Mz5pMh3q+T,,com.sec.android.app.shealth,1551291272608,4606de75-f7ad-4b1b-93e7-1476448d4881,0,
2014-10-16 00:28:39.116,2014-10-16 00:28:39.116,2540.0,,UTC-0400,giFDW8zpE7,,com.sec.android.app.shealth,1413419319099,ffbaab23-2afb-e87f-2a3e-9eb6d1f51895,0,
2019-04-05 15:35:06.063,2019-04-05 15:35:06.037,2597.0,,UTC-0400,4V/TlqPcbG,,com.sec.android.app.shealth,1554478506033,730f95a9-b9b8-4a63-8077-3ebbb102a1c4,0,
2018-03-17 21:16:00.601,2018-03-17 21:16:00.601,2676.9048,,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1521321360601,404bdd87-34a2-b63a-7336-a25ae8dbe7a4,0,
2019-08-07 04:47:05.482,2019-08-07 04:46:03.450,1848.0,,UTC-0400,4V/TlqPcbG,,com.sec.android.app.shealth,1565153163447,00a8e9f4-8238-23f6-53b1-c34818caef74,0,
2019-05-10 02:54:03.365,2019-05-10 02:54:03.317,2597.0,,UTC-0400,4V/TlqPcbG,,com.sec.android.app.shealth,1557456843304,e9fffc7d-9a4b-48fb-b612-88e2a7ea4225,0,
2015-02-01 00:00:00.000,2015-02-01 00:00:00.000,2514.0,,UTC-0500,giFDW8zpE7,,com.sec.android.app.shealth,1380852781449,c81e728d-9d4c-2f63-6f06-7f89cc14862c,0,
2018-08-23 19:29:01.307,2018-08-23 19:29:01.284,2607.0,,UTC-0400,Mz5pMh3q+T,,com.sec.android.app.shealth,1535052541283,0ed63048-fcdc-4ff7-9aef-d8bbd17fee11,0,
2019-07-22 21:18:32.077,2019-07-22 21:18:32.051,2597.0,,UTC-0400,4V/TlqPcbG,,com.sec.android.app.shealth,1563830312048,c3fa2740-d866-44a5-95b6-158ec718983d,0,
