com.samsung.shealth.goal_history,6242001,1
update_time,create_time,type,time_offset,deviceuuid,pkg_name,set_time,controller_id,datauuid
2020-10-16 23:26:05.959,2020-10-16 23:26:05.959,1,UTC-0400,KwIsSebkfa,com.sec.android.app.shealth,1602890764852,goal.activity,79e4ab87-073c-4f8f-9fb5-73e3a6c3d20f,
2020-10-16 23:26:06.592,2020-10-16 23:26:06.592,1,UTC-0400,KwIsSebkfa,com.sec.android.app.shealth,1602890765584,goal.activity,1c5f3d8f-90d8-4e95-a14b-fe7aa04b048a,
2019-08-22 04:53:18.335,2019-08-22 04:53:18.335,2,UTC-0400,4V/TlqPcbG,com.sec.android.app.shealth,1566449598315,goal.weightmanagement,6880e1f7-5a00-45fd-adc4-03afa9f9bb1c,
2018-01-13 05:48:09.447,2018-01-13 05:48:09.447,1,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1515822489446,goal.weightmanagement,e08baa9a-54b4-4772-bf26-d90190c49b02,
2015-04-27 16:28:43.950,2015-04-27 16:28:43.950,1,UTC-0400,ScgltublDV,com.sec.android.app.shealth,1430152123939,goal.activity,c60331bd-54dd-448a-8cb7-e25346000f5e,
2020-03-11 15:38:44.428,2020-03-11 15:38:44.428,1,UTC-0400,cfxbbbfj2r,com.sec.android.app.shealth,1583941124310,goal.activity,11e96a4a-3a38-4ced-99e7-93b54f87d64d,
2019-03-06 18:41:03.718,2019-03-06 18:41:03.718,1,UTC-0500,4V/TlqPcbG,com.sec.android.app.shealth,1551897663669,goal.weightmanagement,45e09f56-5707-4bd5-8564-40e83b65134b,
2015-04-27 16:28:43.652,2015-04-27 16:28:43.652,1,UTC-0400,ScgltublDV,com.sec.android.app.shealth,1430152123646,goal.activity,4382d2a7-b25d-4681-85a6-d973936c4475,
2019-03-06 18:41:25.051,2019-03-06 18:41:25.051,1,UTC-0500,4V/TlqPcbG,com.sec.android.app.shealth,1551897684479,goal.activity,9015eb76-6f62-4c54-854d-b7533e8c7a7b,
2018-09-17 16:01:42.147,2018-09-17 16:01:42.147,1,UTC-0400,Mz5pMh3q+T,com.sec.android.app.shealth,1537200101941,goal.activity,03cf777c-8312-410b-b585-5d949b12a446,
2018-01-13 05:48:00.612,2018-01-13 05:48:00.612,2,UTC-0500,EHdtKydEi4,com.sec.android.app.shealth,1515822480597,goal.activity,ea072595-143c-40e9-adb6-688693095f48,
2019-08-21 16:20:11.503,2019-08-21 16:20:11.503,1,UTC-0400,cfxbbbfj2r,com.sec.android.app.shealth,1566404409479,goal.activity,cd57c6df-9e48-4207-beda-6611f95eb13c,
