com.samsung.shealth.tracker.oxygen_saturation,6242001,3
source,tag_id,com.samsung.health.oxygen_saturation.start_time,com.samsung.health.oxygen_saturation.custom,com.samsung.health.oxygen_saturation.update_time,com.samsung.health.oxygen_saturation.create_time,com.samsung.health.oxygen_saturation.low_duration,com.samsung.health.oxygen_saturation.binning,com.samsung.health.oxygen_saturation.max,com.samsung.health.oxygen_saturation.min,com.samsung.health.oxygen_saturation.spo2,com.samsung.health.oxygen_saturation.time_offset,com.samsung.health.oxygen_saturation.deviceuuid,com.samsung.health.oxygen_saturation.comment,com.samsung.health.oxygen_saturation.pkg_name,com.samsung.health.oxygen_saturation.end_time,com.samsung.health.oxygen_saturation.datauuid,com.samsung.health.oxygen_saturation.heart_rate
,30000,2017-04-26 04:43:48.516,,2017-04-26 04:44:03.828,2017-04-26 04:44:03.828,,,,,98.0,UTC-0400,lR4XsWsS9x,,com.sec.android.app.shealth,2017-04-26 04:43:52.023,06f5a73b-3f66-49b1-826e-72d15a8fd670,70.0,
,31000,2021-03-17 00:43:34.159,,2021-03-17 00:43:34.159,2021-03-17 00:43:34.159,,,,,97.0,UTC-0400,C2yRtg360R,,com.sec.android.app.shealth,2021-03-17 00:43:34.159,f4a25763-3199-0c76-2bd2-2d419b37a3b5,77.0,
,31000,2022-02-22 21:03:37.812,,2022-02-22 21:03:37.844,2022-02-22 21:03:37.844,,,,,99.0,UTC-0500,OuewklxoZv,,com.sec.android.app.shealth,2022-02-22 21:03:37.812,27dc64c5-c058-4c48-a26f-77cd74695028,77.0,
,30000,2017-11-10 15:44:16.008,,2017-11-10 15:44:26.713,2017-11-10 15:44:26.713,,,,,97.0,UTC-0500,EHdtKydEi4,,com.sec.android.app.shealth,2017-11-10 15:44:21.557,9011a28b-1098-43e7-9e6a-299249e96589,75.0,
,30000,2017-10-24 20:51:06.685,,2017-10-24 20:51:15.642,2017-10-24 20:51:15.642,,,,,100.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-10-24 20:51:11.460,68f2e82f-36a2-4d7d-b7e6-a4cd6eb4c0a3,57.0,
,31301,2022-07-10 22:03:00.000,,2022-07-11 00:30:16.390,2022-07-11 00:30:16.390,8,9cd5300d-cea6-4199-a1d4-9dc6055ad900.com.samsung.health.oxygen_saturation.binning.json,98.0,89.0,94.0,UTC-0400,enBdMyKVSw,,com.sec.android.app.shealth,2022-07-11 00:30:00.000,9cd5300d-cea6-4199-a1d4-9dc6055ad900,,
,30000,2017-09-28 05:49:08.308,,2017-09-28 05:49:21.234,2017-09-28 05:49:21.234,,,,,98.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-09-28 05:49:14.849,a1c1d4f8-510d-490f-9534-aa9793de25c3,68.0,
60009,30000,2017-09-16 03:32:16.006,,2017-09-16 03:34:05.614,2017-09-16 03:34:05.614,,,,,94.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-09-16 03:32:59.821,db1c59ef-3e6a-4e99-ab4e-f53c5ad8c3c7,70.0,
,30000,2017-09-16 03:34:37.936,,2017-09-16 03:35:06.059,2017-09-16 03:35:06.059,,,,,97.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-09-16 03:34:41.595,918b789d-895a-4f2c-8dec-114b6d4a1001,68.0,
,30000,2017-09-16 03:35:27.438,,2017-09-16 03:35:38.655,2017-09-16 03:35:38.655,,,,,98.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-09-16 03:35:30.964,f547379f-9374-4290-bd4a-c73b7c66b405,66.0,
,30000,2017-04-21 03:23:13.503,,2017-04-21 03:23:46.378,2017-04-21 03:23:46.378,,,,,99.0,UTC-0400,lR4XsWsS9x,,com.sec.android.app.shealth,2017-04-21 03:23:37.800,ba68257c-b7f7-40cd-b458-4d43c87308ad,67.0,
,30000,2017-10-31 06:12:43.811,,2017-10-31 06:12:55.561,2017-10-31 06:12:55.561,,,,,96.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-10-31 06:12:48.993,79f88cb2-edef-4134-a660-9e5647c47d27,66.0,
,30000,2017-09-18 21:49:18.903,,2017-09-18 21:49:29.685,2017-09-18 21:49:29.685,,,,,98.0,UTC-0400,EHdtKydEi4,,com.sec.android.app.shealth,2017-09-18 21:49:21.993,de87671e-c6f9-4666-b430-9424bf43a654,84.0,
